dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
0.8923076923076924	246692	342401	246689	342398
1.0	202905	281741	202864	281700
1.0	62199	88419	62028	88241
1.0	162702	226898	162695	226891
1.0	162702	226898	162694	226890
1.0	235458	326915	46070	65819
1.0	165998	231224	165985	231211
1.0	246732	342462	47457	67866
1.0	171879	239523	107320	149970
1.0	7342	11050	7310	10935
1.0	117876	164331	46057	65762
1.0	113646	158560	113635	158549
1.0	50530	71933	26487	37657
1.0	113646	158560	113619	158533
1.0	82392	116904	82390	116902
1.0	246022	341626	246019	341623
1.0	27270	38582	27219	38530
1.0	170083	237057	89845	126418
1.0	83673	118520	83656	118503
1.0	46070	65819	29684	42148
1.0	222282	308626	198714	276158
1.0	185437	257837	185331	257720
1.0	155118	216166	46425	66490
1.0	46455	66591	30645	43670
1.0	142644	198826	142548	198729
0.958974358974359	67922	95962	5699	8478
1.0	221006	307076	178994	248790
1.0	142825	199029	36154	51840
1.0	107302	149923	77770	110426
1.0	246337	342001	14008	20180
1.0	71811	101748	71781	101701
1.0	11285	16245	11263	16194
1.0	214241	297858	173823	242312
1.0	216270	300811	124788	174115
1.0	71811	101748	71799	101724
0.9641025641025641	195873	272237	46864	67056
1.0	246337	342001	14018	20190
1.0	172265	239976	151401	211067
1.0	30992	44229	12879	18576
1.0	92281	129417	20564	29638
0.9128205128205128	118708	165769	69872	98531
1.0	234808	325889	99930	139636
1.0	171879	239523	107311	149943
1.0	122075	170271	29008	41161
1.0	238280	330622	238218	330550
0.9128205128205128	204975	284533	32085	45708
0.9282051282051282	112839	157494	7326	11006
1.0	139902	195150	25263	35954
1.0	118264	164901	118104	164718
1.0	204664	284167	204660	284163
1.0	50525	71928	3016	4543
1.0	236963	328966	236910	328913
1.0	90640	127300	90442	127099
0.9743589743589743	201887	280398	33668	47828
1.0	249769	346822	249697	346745
1.0	8011	11852	8003	11844
1.0	191052	265557	190989	265486
0.9435897435897436	80114	113862	52841	75079
1.0	151598	211267	151386	211052
1.0	207467	288022	207355	287900
1.0	205030	284588	74918	106621
1.0	211760	294249	71359	100852
1.0	205030	284588	35411	50623
1.0	46408	66420	46375	66356
0.9487179487179487	129540	180838	129497	180788
1.0	84002	118881	83985	118864
1.0	202369	281046	73023	104021
1.0	185879	258323	185862	258303
1.0	217926	302993	217897	302948
1.0	162525	226681	162478	226634
0.9384615384615385	224962	312086	4739	7111
1.0	186748	259447	92712	129848
1.0	235090	326401	122997	171747
1.0	105430	147273	105405	147245
0.8974358974358975	172415	240161	53328	75755
1.0	248660	345162	248641	345142
1.0	90260	126902	82923	117498
1.0	122074	170270	29007	41160
1.0	207551	288117	207287	287821
1.0	216235	300735	46425	66490
1.0	216710	301335	216674	301273
1.0	207602	288173	207472	288028
1.0	82499	117013	82378	116890
1.0	171960	239605	113426	158314
0.8974358974358975	227007	314619	11070	15978
1.0	84002	118881	83960	118838
1.0	84002	118881	83961	118839
0.9230769230769231	210964	293088	183209	254743
1.0	84002	118881	83964	118842
1.0	84002	118881	83965	118843
1.0	211674	294097	1897	2768
1.0	84002	118881	83967	118845
1.0	84002	118881	83968	118846
1.0	241078	334684	241064	334669
1.0	84002	118881	83969	118847
1.0	188092	261237	188035	261180
0.9128205128205128	204975	284533	32044	45666
1.0	104682	146364	5218	7738
1.0	186854	259553	186845	259544
1.0	105780	147815	27327	38693
1.0	237092	329095	127594	178122
1.0	105780	147815	27322	38686
1.0	125598	175186	87043	122917
1.0	109128	152339	48022	68532
1.0	50300	71701	9478	13919
1.0	84002	118881	83971	118849
1.0	84002	118881	83972	118850
1.0	84002	118881	83973	118851
1.0	248974	345652	247939	344136
0.9692307692307692	199821	277502	140778	196463
1.0	163642	228167	140904	196597
1.0	216259	300793	86618	122235
1.0	101354	141771	101343	141760
1.0	151905	211755	151903	211753
1.0	83948	118822	43659	62229
1.0	242173	336248	84250	119174
0.9487179487179487	99601	139134	86927	122773
1.0	158914	221594	112684	157185
1.0	24209	34540	24173	34504
1.0	144701	201745	130633	182306
1.0	94038	131518	94023	131503
1.0	167122	232890	76489	108599
1.0	165733	230919	165670	230840
1.0	231373	320593	231368	320588
0.9743589743589743	174650	243365	127963	178600
0.8923076923076924	235513	327039	74171	105454
1.0	187325	260225	91947	129045
0.9846153846153847	47001	67310	46999	67308
1.0	86470	122026	86408	121961
1.0	62268	88489	6974	10364
1.0	108810	151961	108808	151959
1.0	38018	54473	38016	54470
1.0	38018	54473	38017	54471
1.0	33419	47375	7287	10863
1.0	37769	54135	37750	54116
1.0	105784	147835	17095	24732
1.0	240857	334311	240824	334262
1.0	248083	344346	248035	344287
1.0	177816	247252	177798	247234
1.0	210687	292543	206276	286263
1.0	12477	18019	12455	17997
1.0	50507	71910	46461	66602
1.0	38872	55585	21035	30278
1.0	235430	326872	9670	14131
1.0	12791	18469	12788	18465
1.0	195064	271019	195053	271005
1.0	161557	225140	101598	142057
0.9333333333333333	143234	199821	112219	156613
0.9384615384615385	234989	326300	51644	73333
1.0	167689	233638	52163	74132
1.0	106944	149392	106921	149369
1.0	249769	346822	249730	346780
1.0	23750	33939	23689	33878
1.0	136348	190191	90260	126902
1.0	188472	261754	171230	238623
0.9128205128205128	62099	88319	3856	5756
1.0	186925	259625	177550	246964
0.9282051282051282	95044	132726	50227	71621
1.0	30075	42816	30054	42795
1.0	6761	10081	6751	10071
0.9230769230769231	177939	247389	7285	10859
0.8974358974358975	166453	231997	113628	158542
1.0	235190	326505	143355	199968
1.0	226657	314143	106934	149382
1.0	13510	19466	13453	19393
1.0	156562	218485	86624	122271
1.0	142672	198854	142450	198629
1.0	12477	18019	12437	17978
0.9384615384615385	113327	158205	61997	88197
1.0	12477	18019	12434	17975
0.9025641025641026	105388	147227	33056	46900
1.0	125231	174677	3802	5701
1.0	93314	130577	93302	130565
0.9230769230769231	62030	88243	7338	11043
1.0	150214	209305	150153	209244
1.0	161049	224593	27747	39583
1.0	23015	32987	23007	32979
0.9230769230769231	62328	88566	7338	11043
1.0	188048	261193	77476	109880
